2024-12-04 16:41:45.083 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=11 kB; lsn=0/2104D70, lsn redo=0/2104D38
2024-12-04 16:46:44.097 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 16:46:44.434 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.330 сек., синхр.=0.003 сек., всего=0.338 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=10 kB; lsn=0/21059E0, lsn redo=0/21059A8
2024-12-04 16:51:44.434 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 16:51:44.768 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.326 сек., синхр.=0.003 сек., всего=0.334 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=10 kB; lsn=0/2106710, lsn redo=0/21066D8
2024-12-04 16:56:44.777 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 16:56:45.107 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.322 сек., синхр.=0.003 сек., всего=0.330 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=9 kB; lsn=0/21074E0, lsn redo=0/21074A8
2024-12-04 17:01:44.118 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:01:44.450 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.332 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=8 kB; lsn=0/21084C8, lsn redo=0/2108490
2024-12-04 17:06:44.463 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:06:44.793 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=8 kB; lsn=0/21094A0, lsn redo=0/2109468
2024-12-04 17:11:44.807 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:11:45.139 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.324 сек., синхр.=0.003 сек., всего=0.332 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4 kB, ожидалось=8 kB; lsn=0/210A548, lsn redo=0/210A510
